GFSA.SLS03G00Z00707,2017.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Total Expenses",Total,Health,,
GFSA.SLS03G00Z00704,2009.06,2809,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Total Expenses",Total,Economic affairs,,
GFSA.SLS02G05Z623023,2016.06,1763,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,
GFSA.SLS01G03983,2010.06,271,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Subsidies,,,
GFSA.SLS01G02143,2015.06,261,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,
GFSA.SLS05G06Z616112K,2014.06,269,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,Depreciation
GFSA.SLS03G03707,2016.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Operating Expenses",Health,,,
GFSA.SLS02G05Z623014,2017.06,2115,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Loans,,
GFSA.SLS03G04702,2010.06,6,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Net Acquisition of Non-financial Assets",Defence,,,
GFSA.SLS03G03707,2012.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Operating Expenses",Health,,,
GFSA.SLS04G111130,2016.06,5289,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Taxation Revenue, Taxes on Property",Taxes on property,Total,,
GFSA.SLS01G03240,2014.06,590,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Interest expense,,,
GFSA.SLS01G02991,2009.06,642,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,
GFSA.SLS01G03270,2019.06,5,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Social benefits,,,
GFSA.SLS03G03700,2015.06,8667,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Operating Expenses",Total,,,
GFSA.SLS05G06Z616114Z,2017.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Weapons systems,Total
GFSA.SLS03G03706,2015.06,1195,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Operating Expenses",Housing and community amenities,,,
GFSA.SLS03G04709,2014.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Net Acquisition of Non-financial Assets",Education,,,
GFSA.SLS02G099999,2010.06,9625,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Total,,,
GFSA.SLS04G131155,2012.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Taxation Revenue, Taxes on Int'l Trade and Transactions",Taxes on international trade and transactions,Exchange taxes,,
GFSA.SLS02G08Z61613,2019.06,5,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Valuables",Non-financial assets,Valuables,,
GFSA.SLS01G04611,2016.06,3384,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Acquisition of Non-financial Assets",Fixed assets,,,
GFSA.SLS04G00Z11,2009.06,4102,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Taxation Revenue, Total",Taxation revenue,,,
GFSA.SLS01G03220,2016.06,3568,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,
GFSA.SLS05G08Z61613K,2019.06,5,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Valuables",Non-financial assets,Valuables,Depreciation,
GFSA.SLS03G03706,2017.06,1335,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Operating Expenses",Housing and community amenities,,,
GFSA.SLS05G07Z616141A,2010.06,277,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Non-produced Assets",Non-financial assets,Non-produced assets,Land,Additions
GFSA.SLS02G06Z616113,2015.06,539,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Other fixed assets,
GFSA.SLS05G06Z616112K,2016.06,235,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,Depreciation
GFSA.SLS02G01Z93,2019.06,-1082,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net financial worth,,,
GFSA.SLS05G06Z616113A,2015.06,189,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Other fixed assets,Additions
GFSA.SLS01G03981,2012.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Current grants,,,
GFSA.SLS02G08Z61613,2012.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Valuables",Non-financial assets,Valuables,,
GFSA.SLS02G093013,2016.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Debt securities,,,
GFSA.SLS05G06Z616113K,2014.06,83,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Other fixed assets,Depreciation
GFSA.SLS02G06Z616111,2017.06,82263,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,
GFSA.SLS02G05Z623012,2009.06,743,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Cash,,
GFSA.SLS04G111132,2010.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Taxation Revenue, Taxes on Property",Taxes on property,Recurrent taxes on net worth,,
GFSA.SLS05G06Z616114Z,2016.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Weapons systems,Total
GFSA.SLS01G03Z99,2016.06,9105,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,
GFSA.SLS03G04708,2016.06,49,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Net Acquisition of Non-financial Assets","Recreation, culture, and religion",,,
GFSA.SLS05G07Z616144D,2013.06,21,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Non-produced Assets",Non-financial assets,Non-produced assets,Intangible non-produced assets,Disposals
GFSA.SLS01G02992,2009.06,343,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,
GFSA.SLS01G03K00,2015.06,1840,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Depreciation,,,
GFSA.SLS03G03700,2012.06,8259,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Operating Expenses",Total,,,
GFSA.SLS03G03709,2013.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Operating Expenses",Education,,,
GFSA.SLS02G093012,2012.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Cash,,,
GFSA.SLS04G101110,2014.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Taxation Revenue, Taxes on Income, Profits and Capital Gains","Taxes on income, profits, and capital gains",Total,,
GFSA.SLS01G03982,2010.06,319,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Other current transfers,,,
GFSA.SLS05G06Z616114A,2009.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Weapons systems,Additions
GFSA.SLS04G131154,2011.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Taxation Revenue, Taxes on Int'l Trade and Transactions",Taxes on international trade and transactions,Exchange profits,,
GFSA.SLS03G04705,2012.06,292,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Expenses by Function, Net Acquisition of Non-financial Assets",Environmental protection,,,
GFSA.SLS01G04611,2018.06,3558,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Acquisition of Non-financial Assets",Fixed assets,,,
